Customer_ID,Age,Annual_Income,Credit_Score,Account_Type,Account_Balance,Bank_Branch,Signup_Date,Is_Active
1,58,76081.6,724.0,Savings,48837.88,Jakarta,2016-08-09,Yes
2,48,65607.99,695.0,Business,30331.27,Surabaya,2016-09-23,Yes
3,34,69637.48,706.0,Savings,31056.12,Medan,2017-08-31,Yes
4,62,67298.56,700.0,Business,29292.34,Surabaya,2016-03-12,Yes
5,27,55509.1,666.0,Savings,17912.88,Jakarta,2017-04-20,No
6,40,64945.29,693.0,Savings,37108.82,Jakarta,2016-01-24,Yes
7,58,69786.46,707.0,Checking,17563.79,Surabaya,2023-03-19,No
8,38,53582.21,661.0,Savings,35543.06,Bandung,2016-05-22,Yes
9,42,70524.88,709.0,Savings,44881.4,Medan,2022-06-20,Yes
10,30,51371.64,655.0,Business,15539.32,Medan,2015-06-24,No
11,30,52001.23,657.0,Savings,27959.93,Surabaya,2024-06-24,Yes
12,43,61760.22,684.0,Business,27417.46,Bandung,2022-02-08,Yes
13,55,85747.44,751.0,Savings,25946.28,Jakarta,2015-01-25,Yes
14,59,81685.55,740.0,Savings,56617.31,Makassar,2022-08-20,Yes
15,43,62724.28,687.0,Business,7222.22,Makassar,2020-02-20,No
16,22,47487.0,644.0,Checking,11947.14,Surabaya,2022-10-15,No
17,41,55135.64,665.0,Business,22718.34,Bandung,2020-03-22,No
18,21,55739.29,667.0,Business,23029.9,Bandung,2021-05-28,No
19,43,67105.04,699.0,Business,30422.73,Medan,2022-11-10,Yes
20,63,70935.97,710.0,Checking,39086.13,Jakarta,2019-01-18,Yes
21,49,71369.58,711.0,Savings,33835.37,Bandung,2015-01-10,Yes
22,57,82368.61,742.0,Business,37903.47,Makassar,2023-06-30,Yes
23,21,47355.99,644.0,Business,6256.14,Jakarta,2018-10-22,No
24,40,67183.87,699.0,Checking,21896.44,Jakarta,2019-12-16,No
25,52,72060.23,713.0,Business,17239.22,Surabaya,2015-01-29,No
26,31,54854.08,665.0,Savings,14219.39,Bandung,2019-12-02,No
27,41,72428.99,714.0,Checking,31332.96,Surabaya,2024-11-09,Yes
28,63,82634.18,743.0,Savings,18154.99,Bandung,2017-10-12,No
29,44,48635.39,647.0,Savings,13441.34,Medan,2018-12-14,No
30,68,88956.88,760.0,Checking,21549.88,Surabaya,2021-11-13,No
31,46,63560.73,689.0,Business,42528.6,Surabaya,2023-02-21,Yes
32,61,79692.14,734.0,Savings,53138.68,Makassar,2019-03-04,Yes
33,47,69536.89,706.0,Savings,32401.75,Surabaya,2018-02-04,Yes
34,35,58649.2,675.0,Savings,38398.42,Bandung,2024-05-16,Yes
35,34,66745.92,698.0,Savings,38144.47,Makassar,2021-10-07,Yes
