Date,GDP_Growth,Unemployment_Rate,Exchange_Rate,Interest_Rate,Money_Supply,Consumer_Confidence_Index,Inflation_Rate
2015-01-01,1.0,6.9,13000.0,4.06,98.41,106.83,2.1
2015-02-01,0.36,6.36,13000.0,4.5,100.19,95.16,2.79
2015-03-01,1.15,7.13,13164.6,3.65,101.85,98.61,2.13
2015-04-01,2.02,5.29,13179.05,4.56,102.99,118.97,2.5
2015-05-01,0.27,7.16,13000.0,4.05,99.28,101.7,2.27
2015-06-01,0.27,7.96,13257.68,3.52,101.43,97.52,1.94
2015-07-01,2.08,5.47,13000.0,4.08,101.57,115.09,2.27
2015-08-01,1.27,6.08,13000.0,3.85,101.63,110.83,2.17
2015-09-01,0.03,7.03,13000.0,5.24,106.89,97.35,2.74
2015-10-01,1.04,6.23,13295.46,4.34,104.59,103.64,2.07
2015-11-01,0.04,6.21,13081.65,4.18,101.68,103.54,2.18
2015-12-01,0.03,7.02,13133.45,5.34,106.46,95.23,2.89
2016-01-01,0.74,6.1,13274.57,5.68,109.29,108.46,3.65
2016-02-01,-1.41,7.94,13116.41,4.97,107.53,81.59,3.23
2016-03-01,-1.22,7.15,13154.97,5.82,102.84,98.56,3.36
2016-04-01,-0.06,7.81,13198.48,4.31,105.33,99.63,2.15
2016-05-01,-0.51,6.86,13318.7,5.05,109.26,99.12,3.36
2016-06-01,0.81,6.43,13248.22,4.61,105.73,110.69,2.66
2016-07-01,-0.41,7.61,13252.91,5.68,108.45,104.45,3.94
2016-08-01,-0.91,6.84,13435.59,4.13,109.53,100.99,2.55
2016-09-01,1.97,6.13,13147.13,4.51,106.55,103.23,2.24
2016-10-01,0.27,7.52,13318.01,5.14,108.7,93.42,2.57
2016-11-01,0.57,5.91,13396.8,2.79,102.76,102.98,1.21
2016-12-01,-0.92,7.55,13398.54,4.67,107.62,93.84,2.5
2017-01-01,-0.04,7.15,13549.95,4.38,109.58,101.91,2.58
2017-02-01,0.61,7.09,13226.32,4.73,108.01,99.17,2.88
2017-03-01,-0.65,6.71,13419.29,5.41,114.19,98.56,3.59
2017-04-01,0.88,5.9,13208.9,5.53,108.48,103.9,3.79
2017-05-01,-0.1,7.31,13341.98,5.58,110.88,95.51,3.56
2017-06-01,0.21,7.04,13611.05,4.71,112.45,93.88,2.96
2017-07-01,-0.1,7.18,13437.06,5.18,115.49,94.35,3.1
2017-08-01,2.35,6.0,13486.01,5.25,110.15,108.01,3.26
2017-09-01,0.49,6.42,13638.25,4.85,115.77,99.3,2.92
2017-10-01,-0.56,7.39,13398.41,6.03,113.89,101.29,4.3
2017-11-01,1.32,6.49,13300.03,5.65,112.32,103.41,3.82
2017-12-01,-0.72,7.0,13410.51,5.56,115.63,109.55,3.33
2018-01-01,0.71,7.58,13723.91,4.85,115.52,104.28,2.7
2018-02-01,-1.46,7.97,13492.8,5.82,114.35,90.73,4.11
2018-03-01,-0.83,6.82,13467.99,5.58,116.11,92.11,3.55
2018-04-01,0.7,6.98,13360.7,6.41,115.62,107.05,4.18
2018-05-01,1.24,5.89,13727.58,4.41,117.03,106.63,2.91
2018-06-01,0.67,7.06,13872.62,5.72,118.55,103.79,3.56
2018-07-01,0.38,7.39,13776.42,5.89,120.82,113.56,4.08
2018-08-01,0.2,6.49,13403.88,5.75,115.59,102.04,3.58
2018-09-01,-0.98,7.97,13880.97,5.82,122.75,97.94,4.05
2018-10-01,-0.22,7.32,13545.87,5.27,115.0,94.44,3.81
2018-11-01,0.04,7.39,13543.49,4.88,119.02,98.85,3.37
2018-12-01,1.56,7.17,13787.23,6.04,120.92,116.13,4.02
2019-01-01,0.84,6.46,13742.3,6.21,120.73,102.72,4.13
2019-02-01,-1.26,7.25,13794.74,5.92,119.34,101.98,4.19
2019-03-01,0.82,6.14,13903.84,6.61,120.59,110.23,4.42
2019-04-01,0.11,6.53,13986.44,4.98,120.44,99.16,3.48
2019-05-01,-0.18,7.05,13828.6,5.28,120.67,102.13,3.3
2019-06-01,1.11,6.61,13770.52,6.67,123.97,111.58,5.04
2019-07-01,1.53,6.37,14146.4,6.31,123.4,112.65,4.51
2019-08-01,1.43,6.7,13860.86,5.81,121.72,100.21,3.8
2019-09-01,-0.34,7.18,13912.79,7.05,125.33,94.14,5.31
2019-10-01,0.19,7.63,13935.91,6.4,124.56,97.82,4.51
2019-11-01,0.83,6.45,13920.47,7.49,126.0,105.43,5.19
2019-12-01,1.48,7.62,13991.46,6.47,126.05,108.61,4.64
2020-01-01,0.02,7.3,13706.61,7.64,123.55,100.09,5.39
2020-02-01,0.31,6.41,13821.83,6.99,124.51,96.65,5.33
2020-03-01,-0.61,6.77,14045.08,6.79,127.55,99.57,4.63
2020-04-01,-0.7,7.59,13911.49,7.69,127.69,97.8,5.25
2020-05-01,1.31,6.23,13994.55,6.27,126.85,111.67,5.01
2020-06-01,1.86,6.43,14017.94,7.2,127.55,116.4,5.44
2020-07-01,0.43,7.02,14166.89,6.72,130.29,106.24,4.55
2020-08-01,1.5,6.21,14150.91,6.98,126.97,112.18,5.04
2020-09-01,0.86,6.15,13807.47,7.61,129.67,106.52,5.5
2020-10-01,-0.15,6.32,14308.7,5.8,128.59,93.02,3.98
2020-11-01,0.86,6.35,14290.23,6.33,128.98,108.42,4.31
2020-12-01,2.04,6.41,14130.47,6.14,132.03,113.0,4.18
2021-01-01,0.46,6.87,14170.29,7.41,131.9,104.05,5.06
2021-02-01,2.06,5.34,14161.32,7.67,132.3,108.91,5.59
2021-03-01,-2.12,8.15,14072.14,8.22,133.7,80.56,6.12
2021-04-01,1.32,6.53,14143.05,7.07,131.55,113.28,5.19
2021-05-01,0.59,6.26,14104.01,8.0,133.3,104.94,6.14
2021-06-01,0.2,6.98,14476.51,6.35,131.73,104.48,4.48
2021-07-01,0.59,6.73,14453.76,6.61,133.42,103.9,4.49
2021-08-01,-1.49,7.17,14409.88,7.14,132.93,92.19,5.27
2021-09-01,0.28,7.04,14346.57,7.66,133.81,105.98,5.57
2021-10-01,0.86,6.85,14185.42,8.13,135.22,102.15,5.51
2021-11-01,1.98,6.55,14287.48,6.51,132.82,111.71,4.25
2021-12-01,-0.02,7.54,14575.52,7.76,139.06,95.99,5.86
2022-01-01,-0.31,6.47,14188.26,7.04,133.28,97.89,4.68
2022-02-01,-0.0,6.53,14331.49,7.54,133.29,99.85,5.66
2022-03-01,1.42,6.55,14506.81,7.42,138.45,109.54,6.03
2022-04-01,0.83,6.84,14515.27,7.04,138.14,102.22,5.34
2022-05-01,-0.03,7.27,14631.83,7.0,138.22,105.31,5.57
2022-06-01,1.01,8.42,14604.0,7.23,138.65,96.33,5.34
2022-07-01,0.6,6.99,14428.11,7.75,137.79,102.09,5.75
2022-08-01,1.47,6.83,14425.51,8.62,136.44,105.64,6.12
2022-09-01,-0.2,7.58,14433.66,7.49,138.81,104.49,5.39
2022-10-01,0.17,7.24,14501.82,7.96,137.72,101.13,6.02
2022-11-01,0.11,6.79,14668.78,8.13,141.45,106.33,5.88
2022-12-01,-0.96,7.86,14609.9,6.9,139.62,85.17,5.57
2023-01-01,0.8,6.22,14528.3,7.89,138.69,107.67,5.81
2023-02-01,0.76,6.5,14458.07,7.72,140.11,109.75,5.49
2023-03-01,0.51,6.5,14794.54,7.48,142.0,104.42,5.92
2023-04-01,0.27,6.91,14575.86,7.79,140.47,106.93,5.45
2023-05-01,-0.92,8.62,14404.23,9.12,140.37,87.99,7.02
2023-06-01,0.08,6.03,14782.57,8.19,142.92,110.36,6.31
2023-07-01,0.16,7.26,14629.45,8.17,143.35,111.49,5.98
2023-08-01,-0.3,6.34,14420.87,9.01,142.26,98.64,6.33
2023-09-01,0.34,6.59,14504.71,8.27,142.76,100.68,6.22
2023-10-01,0.9,7.09,14797.47,8.42,144.58,111.51,6.35
2023-11-01,2.39,5.84,14470.7,8.33,141.64,123.31,6.47
2023-12-01,0.67,6.12,14798.82,8.34,142.14,103.39,6.59
2024-01-01,0.76,6.26,14501.07,8.38,143.94,103.9,6.13
2024-02-01,0.43,7.13,14988.98,7.99,145.37,100.34,6.25
2024-03-01,-1.42,7.34,14856.32,8.57,146.84,85.15,6.55
2024-04-01,0.47,6.87,15000.0,7.66,149.59,98.16,5.81
2024-05-01,0.56,6.74,14907.86,8.26,148.77,98.55,6.12
2024-06-01,2.96,5.19,14797.92,9.5,147.16,116.4,7.4
2024-07-01,0.31,7.92,14747.31,9.92,147.86,98.61,7.61
2024-08-01,0.8,6.92,14940.65,8.35,146.31,105.43,6.51
2024-09-01,0.47,5.75,14888.79,9.08,148.7,113.81,7.16
2024-10-01,-0.67,7.43,14922.12,8.72,148.58,90.38,7.01
2024-11-01,1.64,5.85,14782.03,10.43,150.23,116.59,8.56
2024-12-01,1.25,6.8,14810.83,9.51,148.35,105.79,7.39
